Crop,Variety name/code,Official Release name,Year of release in Kenya,Owner(s)/ Licensee,Maintain er and seedling source,Optimal production altitude range (Masl),Duration to maturity (months),Cane yield (t ha-1),Special attributes
SUGARCANE,1. CO 421,CO 421,1950’s,SBI India,KESREF,1100-1600,20-22,80-120," Wide
adaptation"
SUGARCANE,2. CO 617,CO 617,1950’s,SBI India,KESREF,1100-1600,18-20,80-120," Tolerant to
stress"
SUGARCANE,3. EAK 69-47,EAK 69-47,1960S,"EAC/KESREF
(also in TZ)",KESREF,1300-1600,20-22,80-110," High cane
yield"
SUGARCANE,4. EAK 70-97,EAK 70-97,1970S,"EAC/KESREF
(also TZ)",KESREF,1300-1600,18-20,95-120, Smut tolerant
SUGARCANE,"5. EAK 71-
402","EAK 71-
402",1970s,"EAC/KESREF
(also in TZ)",KESREF,1300-1600,20-22,80-115," Tolerant to
smut and
mosaic"
SUGARCANE,6. CB 38-22,CB 38-22,1998,Brazil,KESREF,1300-1600,18-20,75-115," Tolerant to
smut and
moisture
stress"
SUGARCANE,7. CO 1148,CO 1148,1998,SBI India,KESREF,1100-1600,20-22,90-130, High yield
SUGARCANE,8. N 14,N 14,1998,"SASA, South
Africa",KESREF,1100-1600,18-20,90-135," High sucrose
content"
SUGARCANE,"9. KEN 82-
401","KEN 82-
401",2002,KESREF,KESREF,1100-1600,15-19,85-140," High sucrose
content"
SUGARCANE,"10. KEN 82-
737","KEN 82-
737",2002,KESREF,KESREF,1100-1600,16-20,97-130," Tolerant to
smut"
SUGARCANE,"11. KEN 82-
472","KEN 82-
472",2007,KESREF,KESREF,1200-1620,17-19,74-125," Thick stalks,
Good
ratooner
 Wide
adaptability
 Intermediate
resistance to
smut"
SUGARCANE,12. KEN 82-62,KEN 82-62,2007,KESREF,KESREF,1200-1620,17-20,66-135," High sucrose
content
 Intermediate
resistance to
smut"
SUGARCANE,"13. EAK 73-
335","EAK 73-
335",2007,KESREF,KESREF,1200-1620,18-20,89-176," Intermediate
resistance to
smut"
SUGARCANE,14. D8484,D8484,2007,"Guyana Sugar
Cooperative",KESREF,1200-1620,14-16,"108-
145"," Resistant to
smut"
SUGARCANE,"15. KEN82-
121¥","KEN82-
121¥",2011,"Kenya Sugar
Research
Foundation
(KESREF)",KESREF,1100 -1300,15-17,95-100," Early
maturity, High
sucrose."
SUGARCANE,"16. KEN82-
493¥","KEN82-
493¥",2011,"Kenya Sugar
Research
Foundation
(KESREF)",KESREF,1100-1300,15-17,95-100," Early maturity
 High cane
yield
 Heavy
Tillering"
SUGARCANE,"17. KEN82-
601¥","KEN82-
601¥",2011,"Kenya Sugar
Research
Foundation
(KESREF)",KESREF,1100-1300,15-17,95-100," Early maturity
 High sucrose
 High cane
yield"
SUGARCANE,18. 98-367,"KEN 98-
367",2014,KESREF,"KESREF
(KIBOS)","Nzioa,
Mumias,
Chemelil &
Sony",15-17,"Sub-
Humid
- 84,
Humid
-127"," Early Maturity
 Sucrose
content of
13% pol"
SUGARCANE,19. 98-530,"KEN 98-
530",2014,KESREF,"KESREF
(KIBOS)","Kibos,
Nzioa,
Mumias &
Muhoroni",16-18,"Sub-
Humid
78,
Humid
105"," High Sucrose
content(13-
14% pol)"
SUGARCANE,20. 98-533,"KEN 98-
533",2014,KESREF,"KESREF
(KIBOS)","Kibos,
Nzoia,
Chemelil &
Sony",16-18,"Sub-
Humid
82,
Humid
142"," Resistant to
smut
 High Sucrose
content(13-
15% pol)"
SUGARCANE,21. 98-551,"KEN 98-
551",2014,KESREF,"KESREF
(KIBOS)","Kibos &
Chemelil",16-18,"Sub-
Humid
80,
Humid
100"," High Sucrose
content (15%
pol)"
